Image_name,UT_id,date_only(YYYY-MM-DD)
UT75-11D_08_17_11.JPG,UT75-11D,2011-08-17
UT75-11D_08_18_11.JPG,UT75-11D,2011-08-18
UT75-11D_08_19_11.JPG,UT75-11D,2011-08-19
UT75-11D_08_20_11.JPG,UT75-11D,2011-08-20
UT75-11D_08_21_11.JPG,UT75-11D,2011-08-21
UT75-11D_08_22_11.JPG,UT75-11D,2011-08-22
UT75-11D_08_23_11.JPG,UT75-11D,2011-08-23
UT75-11D_08_24_11.JPG,UT75-11D,2011-08-24
UT75-11D_08_25_11.JPG,UT75-11D,2011-08-25
UT75-11D_08_26_11.JPG,UT75-11D,2011-08-26
UT75-11D_08_27_11.JPG,UT75-11D,2011-08-27
UT75-11D_08_29_11.JPG,UT75-11D,2011-08-29
UT75-11D_08_30_11.JPG,UT75-11D,2011-08-30
UT75-11D_08_31_11.JPG,UT75-11D,2011-08-31
UT75-11D_09_01_11.JPG,UT75-11D,2011-09-01
UT75-11D_09_08_11.JPG,UT75-11D,2011-09-08
UT75-11D_09_10_11.JPG,UT75-11D,2011-09-10
UT75-11D_09_11_11.JPG,UT75-11D,2011-09-11
UT75-11D_09_16_11.JPG,UT75-11D,2011-09-16
UT75-11D_09_24_11.JPG,UT75-11D,2011-09-24
UT75-11D_09_27_11.JPG,UT75-11D,2011-09-27
UT75-11D_10_31_11.JPG,UT75-11D,2011-10-31
UT75-12D_10_03_12.JPG,UT75-12D,2012-10-03
UT75-12D_10_04_12.JPG,UT75-12D,2012-10-04
UT75-12D_10_05_12.JPG,UT75-12D,2012-10-05
UT75-12D_10_06_12.JPG,UT75-12D,2012-10-06
UT75-12D_10_07_12.JPG,UT75-12D,2012-10-07
UT75-12D_10_08_12.JPG,UT75-12D,2012-10-08
UT75-12D_10_09_12.JPG,UT75-12D,2012-10-09
UT75-12D_10_10_12.JPG,UT75-12D,2012-10-10
UT75-12D_10_11_12.JPG,UT75-12D,2012-10-11
UT75-12D_10_12_12.JPG,UT75-12D,2012-10-12
UT75-12D_10_13_12.JPG,UT75-12D,2012-10-13
UT75-12D_10_14_12.JPG,UT75-12D,2012-10-14
UT75-12D_10_15_12.JPG,UT75-12D,2012-10-15
UT75-12D_10_16_12.JPG,UT75-12D,2012-10-16
UT75-12D_10_17_12.JPG,UT75-12D,2012-10-17
UT75-12D_10_18_12.JPG,UT75-12D,2012-10-18
UT75-12D_10_19_12.JPG,UT75-12D,2012-10-19
UT75-12D_10_20_12.JPG,UT75-12D,2012-10-20
UT75-12D_10_21_12.JPG,UT75-12D,2012-10-21
UT75-12D_10_22_12.JPG,UT75-12D,2012-10-22
UT75-12D_10_23_12.JPG,UT75-12D,2012-10-23
UT75-12D_10_24_12.JPG,UT75-12D,2012-10-24
UT75-12D_10_25_12.JPG,UT75-12D,2012-10-25
UT75-12D_10_26_12.JPG,UT75-12D,2012-10-26
UT75-12D_10_27_12.JPG,UT75-12D,2012-10-27
UT75-12D_10_28_12.JPG,UT75-12D,2012-10-28
UT75-12D_10_29_12.JPG,UT75-12D,2012-10-29
UT75-12D_10_30_12.JPG,UT75-12D,2012-10-30
UT75-12D_10_31_12.JPG,UT75-12D,2012-10-31
UT75-12D_11_01_12.JPG,UT75-12D,2012-11-01
UT75-12D_11_02_12.JPG,UT75-12D,2012-11-02
UT75-12D_11_03_12.JPG,UT75-12D,2012-11-03
