image_name,max_date,min_date,ADD_temp,ADD_humidity,ADD_wind_speed
UT01-13D_04_09_13.JPG,2013-04-09,2013-01-23,21510.81972815473,4346.389614285929,167.2025774612377
UT01-13D_04_10_13.JPG,2013-04-10,2013-01-23,21803.31972815473,4405.520049068538,168.76779485254204
UT01-13D_04_11_13.JPG,2013-04-11,2013-01-23,22098.148894821396,4464.478382401871,170.10112818587538
UT01-13D_04_12_13.JPG,2013-04-12,2013-01-23,22393.866394821394,4514.561715735204,172.80946151920872
UT01-13D_04_13_13.JPG,2013-04-13,2013-01-23,22683.543394821394,4591.128382401871,176.90946151920872
UT01-13D_04_14_13.JPG,2013-04-14,2013-01-23,22969.93881148806,4642.878382401871,178.24279485254206
UT01-13D_04_15_13.JPG,2013-04-15,2013-01-23,23257.69976386901,4693.830763354252,178.81422342397065
UT01-13D_04_16_13.JPG,2013-04-16,2013-01-23,23547.275478154726,4762.164096687585,179.00469961444685
UT01-13D_04_17_13.JPG,2013-04-17,2013-01-23,23841.880478154726,4827.608541132029,180.3380329477802
UT01-13D_04_18_13.JPG,2013-04-18,2013-01-23,24135.208372891568,4904.608541132029,181.9696118951486
UT01-13D_04_19_13.JPG,2013-04-19,2013-01-23,24429.477817336014,4971.330763354252,184.91405633959306
UT01-13D_04_20_13.JPG,2013-04-20,2013-01-23,24720.167817336012,5042.242528060134,191.11993869253425
UT01-13D_04_21_13.JPG,2013-04-21,2013-01-23,25002.722400669347,5079.492528060134,192.49493869253425
UT01-13D_04_22_13.JPG,2013-04-22,2013-01-23,25287.073270234563,5113.840354147091,193.71232999688206
UT01-13D_04_23_13.JPG,2013-04-23,2013-01-23,25574.22868690123,5167.507020813758,194.71232999688206
UT01-13D_04_24_13.JPG,2013-04-24,2013-01-23,25862.7421651621,5221.550499074628,195.75580825775162
UT01-13D_04_25_13.JPG,2013-04-25,2013-01-23,26152.56562670056,5292.0889606130895,199.56350056544395
UT01-13D_04_26_13.JPG,2013-04-26,2013-01-23,26436.894793367228,5356.6306272797565,201.31350056544395
UT01-13D_04_27_13.JPG,2013-04-27,2013-01-23,26722.30979336723,5410.3389606130895,202.1468338987773
UT01-13D_04_29_13.JPG,2013-04-29,2013-01-23,27293.718922022203,5585.577557104318,206.0906935479001
UT01-13D_04_30_13.JPG,2013-04-30,2013-01-23,27583.063269848288,5666.012339713014,207.52547615659574
UT01-13D_05_01_13.JPG,2013-05-01,2013-01-23,27872.691890537943,5741.288201781979,208.11168305314746
UT01-13D_05_03_13.JPG,2013-05-03,2013-01-23,28458.06820871976,5870.651838145615,213.13441032587474
UT01-13D_05_04_13.JPG,2013-05-04,2013-01-23,28750.046780148332,5934.366123859901,215.94393413539854
UT01-13D_05_06_13.JPG,2013-05-06,2013-01-23,29323.442642700928,6100.932743775749,220.90466344816153
UT01-13D_05_07_13.JPG,2013-05-07,2013-01-23,29608.21197603426,6187.999410442416,223.3713301148282
UT01-13D_05_08_13.JPG,2013-05-08,2013-01-23,29894.776323860347,6263.999410442416,224.3713301148282
UT01-13D_05_09_13.JPG,2013-05-09,2013-01-23,30185.161561955585,6340.76131520432,227.22847297197106
UT01-13D_05_10_13.JPG,2013-05-10,2013-01-23,30476.327331186356,6417.569007512013,228.61308835658645
UT01-13D_05_11_13.JPG,2013-05-11,2013-01-23,30768.298331186357,6486.369007512013,230.36308835658645
UT01-13D_05_12_13.JPG,2013-05-12,2013-01-23,31060.4478766409,6557.096280239286,233.68127017476826
UT01-13D_05_14_13.JPG,2013-05-14,2013-01-23,31633.638757593282,6654.634375477382,237.31698446048253
UT01-13D_06_05_13.JPG,2013-06-05,2013-01-23,38109.45736348681,7542.917656871209,266.70331065404383
